dataset,leave,standardisation,weighting,accuracy,balancedAcc,f1,mcc,meanAUROC,n11,precision,recall,sensitivity,specificity,stddev,,,leave,standardisation,weighting,accuracy,balancedAcc,f1,mcc,meanAUROC,n11,precision,recall,sensitivity,specificity
spambase,FALSE,FALSE,FALSE,0.993265993,0.94973545,0.936507937,0.899470899,0.986037625,0.221930248,0.936507937,0.936507937,0.936507937,0.962962963,0,,,,,,,,,,,,,,,
spambase,FALSE,FALSE,TRUE,0.725085911,0.892389861,0.891217514,0.879965336,0.939091682,0.650238342,0.898383372,0.878103837,0.878103837,0.968481375,0,,,,,,,,,,,,,,,
spambase,FALSE,TRUE,FALSE,0.709621993,0.917013112,0.893203883,0.847970916,0.904700991,0.427134503,0.92,0.867924528,0.867924528,0.966101695,0,,,,,,,,,,,,,,,
spambase,FALSE,FALSE,FALSE,0.70790378,0.675283811,0.681534012,0.679322789,0.841845007,1.758871473,0.53968254,0.666666667,0.666666667,0.9375,0,,,,,,,,,,,,,,,
statlog-landsat,FALSE,TRUE,FALSE,0.986531987,0.670276825,0.691411332,0.700059884,0.942757605,1.9184285,0.594202899,0.661290323,0.661290323,0.939655172,0,,,,,,,,,,,,,,,
statlog-landsat,FALSE,FALSE,FALSE,0.966666667,0.81884058,0.774193548,0.701260153,0.876006441,1.628216241,0.923076923,0.666666667,0.666666667,0.971014493,0,,,,,,,,,,,,,,,
statlog-landsat,FALSE,TRUE,FALSE,0.816666667,0.936607653,0.920863309,0.867291787,0.936036551,0.427134503,0.901408451,0.941176471,0.941176471,0.932038835,0,,,,,,,,,,,,,,,
statlog-landsat,TRUE,FALSE,FALSE,0.721649485,0.723694316,0.715202511,0.625031235,0.817040428,1.882204724,0.838235294,0.919354839,0.919354839,0.919117647,0,,,,,,,,,,,,,,,
statlog-vehicle,TRUE,FALSE,FALSE,1,0.57115445,0.235294118,0.20161913,0.656701883,0.492867331,0.366666667,0.173228346,0.173228346,0.969080553,0,,,,,,,,,,,,,,,
statlog-vehicle,TRUE,FALSE,FALSE,0.988888889,0.606481481,0.612418317,0.65540931,0.920494361,1.538797265,1,0.888888889,0.888888889,1,0,,,,,,,,,,,,,,,
statlog-vehicle,FALSE,FALSE,TRUE,0.972222222,0.534920635,0.573566085,0.071923082,0.528526077,2.006813187,0.508849558,0.657142857,0.657142857,0.412698413,0,,,,,,,,,,,,,,,
statlog-vehicle,FALSE,FALSE,FALSE,0.945045045,0.925550803,0.897637795,0.839286674,0.964815498,0.380181019,0.868571429,0.928716904,0.928716904,0.922384702,0,,,,,,,,,,,,,,,
steel-plates,FALSE,FALSE,TRUE,1,0.5,1.00E-07,0,0.568418561,1.158392857,0,0,0,0,0,,,,,,,,,,,,,,,
steel-plates,FALSE,TRUE,FALSE,0.955855856,0.77429126,0.787415809,0.791181101,0.901856509,0.402729437,0.595744681,0.7,0.7,0.98787492,0,,,,,,,,,,,,,,,
steel-plates,TRUE,FALSE,FALSE,0.950900901,0.752941176,0.671875,0.582743425,0.963974596,3.259298318,1,0.505882353,0.505882353,1,0,,,,,,,,,,,,,,,
steel-plates,FALSE,FALSE,TRUE,0.946396396,0.888888889,0.889792378,0.835546706,0.98185941,0.374682178,0.869565217,0.952380952,0.952380952,0.923076923,0,,,,,,,,,,,,,,,
synthetic-control,TRUE,FALSE,FALSE,0.849462366,0.718430274,0.718332377,0.577838988,0.789788145,1.868053333,0.726899384,0.732919255,0.732919255,0.844807468,0,,,,,,,,,,,,,,,
synthetic-control,FALSE,FALSE,FALSE,0.795698925,0.870428422,0.862068966,0.740856844,0.898641588,0.856774194,0.862068966,0.862068966,0.862068966,0.878787879,0,,,,,,,,,,,,,,,
synthetic-control,FALSE,TRUE,FALSE,0.784946237,0.493898756,0.474285714,-0.012217998,0.478706053,3.356483516,0.48255814,0.466292135,0.466292135,0.521505376,0,,,,,,,,,,,,,,,
synthetic-control,FALSE,FALSE,TRUE,0.762376238,0.933110734,0.932865055,0.922565194,0.959679448,0.440750361,1,1,1,1,0,,,,,,,,,,,,,,,
twonorm,FALSE,FALSE,TRUE,0.880268784,0.857142857,0.833333333,0.809173594,0.782467532,0.457931034,1,0.714285714,0.714285714,1,0,,,,,,,,,,,,,,,
twonorm,FALSE,TRUE,FALSE,0.861942578,0.67838794,0.682168091,0.563193414,0.766590462,2.16976378,0.830188679,0.862745098,0.862745098,0.933823529,0,,,,,,,,,,,,,,,
twonorm,FALSE,TRUE,FALSE,0.801980198,0.70517132,0.716860231,0.70946382,0.854964178,1.623573668,0.666666667,0.676923077,0.676923077,0.952173913,0,,,,,,,,,,,,,,,
twonorm,FALSE,FALSE,TRUE,0.731182796,0.245614035,0.227642343,-0.283554382,0.339957265,3.197037037,0.636363636,0.736842105,0.736842105,0,0,,,,,,,,,,,,,,,
vertebral-column-3clases,FALSE,FALSE,FALSE,0.87782529,0.280701754,0.248062082,-0.210289558,0.511680912,2.705185185,0.666666667,0.842105263,0.842105263,0,0,,,,,,,,,,,,,,,
vertebral-column-3clases,TRUE,FALSE,FALSE,0.874770922,0.734447881,0.639755352,0.551378129,0.735387335,1.761693694,0.994296578,0.471596032,0.471596032,0.99729973,0,,,,,,,,,,,,,,,
vertebral-column-3clases,TRUE,FALSE,FALSE,0.801980198,0.748148148,0.75,0.699757869,0.8719214,1.66,1,1,1,1,0,,,,,,,,,,,,,,,
vertebral-column-3clases,FALSE,FALSE,TRUE,0.729333333,0.937229437,0.936304006,0.909336509,0.953602844,0.421587302,1,0.954545455,0.954545455,1,0,,,,,,,,,,,,,,,
wall-following,FALSE,FALSE,FALSE,0.831683168,0.536325514,0.518408111,0.370596223,0.681580369,3.267775281,1,1,1,1,0,,,,,,,,,,,,,,,
